interaction_id,drug1,drug2,risk,severity,reference
DI001,Aspirin,Warfarin,Severely increases bleeding risk,HIGH,DrugBank
DI002,Ibuprofen,Warfarin,High risk of gastrointestinal bleeding,HIGH,DrugBank
DI003,Amoxicillin,Warfarin,Enhances anticoagulant effect,MEDIUM,DrugBank
DI004,Clopidogrel,Aspirin,Excessive bleeding risk,HIGH,DrugBank
DI005,Metformin,Insulin,May cause hypoglycemia if doses not adjusted,MEDIUM,DrugBank
DI006,Paracetamol,Warfarin,Increases INR with long-term use,MEDIUM,DrugBank
DI007,Fluconazole,Warfarin,Strongly increases bleeding risk,HIGH,DrugBank
DI008,Ciprofloxacin,Warfarin,Increases anticoagulant effect,HIGH,DrugBank
DI009,Heparin,Warfarin,Severe bleeding risk,HIGH,DrugBank
DI010,Aspirin,Ibuprofen,Reduces cardioprotective effect of aspirin,LOW,DrugBank
DI011,Digoxin,Verapamil,Increases digoxin levels – risk of toxicity,HIGH,DrugBank
DI012,Digoxin,Amiodarone,Raises digoxin toxicity – narrow therapeutic index,HIGH,DrugBank
DI013,Statins,Clarithromycin,Risk of muscle toxicity (myopathy),HIGH,DrugBank
DI014,Statins,Erythromycin,Risk of rhabdomyolysis,HIGH,DrugBank
DI015,ACE Inhibitors,Potassium Supplements,Risk of hyperkalemia,HIGH,DrugBank
DI016,Spironolactone,Potassium Supplements,Severe hyperkalemia risk,HIGH,DrugBank
DI017,Benzodiazepines,Opioids,Respiratory depression risk – potentially fatal,HIGH,DrugBank
DI018,SSRIs,NSAIDs,Increased gastrointestinal bleeding risk,MEDIUM,DrugBank
DI019,Theophylline,Ciprofloxacin,Increases theophylline levels – risk of toxicity,HIGH,DrugBank
DI020,Warfarin,Clopidogrel,Extreme bleeding risk – life threatening combination,HIGH,DrugBank
DI021,Lithium,NSAIDs,NSAIDs reduce lithium clearance – risk of lithium toxicity,HIGH,DrugBank
DI022,Methotrexate,NSAIDs,NSAIDs reduce methotrexate excretion – severe toxicity,HIGH,DrugBank
DI023,ACE Inhibitors,NSAIDs,Reduces antihypertensive effect and increases kidney damage risk,MEDIUM,DrugBank
DI024,Warfarin,Aspirin,Increases bleeding risk significantly,HIGH,DrugBank
