contra_id,condition,drug,warning,severity,reference
DC001,Asthma,Aspirin,Can trigger severe asthma attacks and bronchospasm,HIGH,Mayo Clinic
DC002,Diabetes,Prednisone,Raises blood glucose significantly,HIGH,Mayo Clinic
DC003,Hypertension,Ibuprofen,Increases blood pressure and reduces antihypertensive efficacy,MEDIUM,Mayo Clinic
DC004,Heart Disease,Diclofenac,Increases risk of heart attack and cardiovascular events,HIGH,Mayo Clinic
DC005,Kidney Disease,NSAIDs,Worsens kidney function and may precipitate acute kidney injury,HIGH,Mayo Clinic
DC006,Liver Disease,Paracetamol,Risk of severe liver toxicity at standard doses,HIGH,Mayo Clinic
DC007,Pregnancy,Isotretinoin,Causes severe birth defects – absolute contraindication,HIGH,Mayo Clinic
DC008,Glaucoma,Antihistamines,Raises intraocular pressure – may worsen glaucoma,MEDIUM,Mayo Clinic
DC009,Peptic Ulcer,Aspirin,Causes gastrointestinal bleeding and ulcer worsening,HIGH,Mayo Clinic
DC010,Heart Failure,NSAIDs,Fluid retention and worsening of heart failure,HIGH,Mayo Clinic
DC011,Hypertension,Decongestants,Raises blood pressure and counteracts antihypertensives,MEDIUM,Mayo Clinic
DC012,Heart Disease,Ibuprofen,Significantly increases risk of heart attack and stroke,HIGH,Mayo Clinic
DC013,Diabetes,Aspirin,May mask hypoglycemia symptoms and affect blood sugar regulation,MEDIUM,Mayo Clinic
DC014,Kidney Disease,Contrast Dye,High risk of contrast-induced nephropathy,HIGH,Mayo Clinic
DC015,Asthma,Beta Blockers,Can trigger severe bronchospasm in asthma patients,HIGH,Mayo Clinic
DC016,Atrial Fibrillation,NSAIDs,Increases stroke and bleeding risk in patients on anticoagulation,HIGH,Mayo Clinic
DC017,Liver Disease,Statins,Increased risk of hepatotoxicity in pre-existing liver disease,MEDIUM,Mayo Clinic
DC018,Peptic Ulcer,NSAIDs,Significantly worsens ulcers and increases bleeding risk,HIGH,Mayo Clinic
DC019,Type 2 Diabetes,Corticosteroids,Causes significant hyperglycemia and insulin resistance,HIGH,Mayo Clinic
